PACKET_ID,SEGMENT_ID,PACKET_TYPE,CONTROL_PACKET_TYPE/APP_NAME,SOURCE_ID,DESTINATION_ID,TRANSMITTER_ID,RECEIVER_ID,APP_LAYER_ARRIVAL_TIME(µS),TRX_LAYER_ARRIVAL_TIME(µS),NW_LAYER_ARRIVAL_TIME(µS),MAC_LAYER_ARRIVAL_TIME(µS),PHY_LAYER_ARRIVAL_TIME(µS),PHY_LAYER_START_TIME(µS),PHY_LAYER_END_TIME(µS),APP_LAYER_PAYLOAD(Bytes),TRX_LAYER_PAYLOAD(Bytes),NW_LAYER_PAYLOAD(Bytes),MAC_LAYER_PAYLOAD(Bytes),PHY_LAYER_PAYLOAD(Bytes),PHY_LAYER_OVERHEAD(Bytes),PACKET_STATUS,LOCAL_ADDRESS,REMOTE_ADDRESS,CWND,SEQ_NO,ACK_NO,isSyn,isAck,isFin,SEGMENT_LEN,SOURCE_IP,DESTINATION_IP,GATEWAY_IP,NEXT_HOP_IP,
226,0,Voice,App1_VOICE,NODE-2,NODE-5,ROUTER-1,NODE-5,4500000.000,4500000.000,4500023.080,4500023.080,4500023.080,4500041.160,4500046.160,160.000,160.000,180.000,200.000,226.000,0.000,Successful,192.168.0.2:82,192.170.0.2:36934,33140,36002,0,False,False,False,160,192.168.0.2,192.170.0.2,192.170.0.1,192.170.0.2,
0,N/A,Control_Packet,TCP_ACK,NODE-5,NODE-2,NODE-5,ROUTER-1,N/A,4500046.160,4500046.160,4500046.160,4500046.160,4500051.440,4500056.440,N/A,0.000,20.000,40.000,66.000,0.000,Successful,192.170.0.2:36934,192.170.0.1:82,4381,6,36162,False,True,False,0,192.170.0.2,192.170.0.1,192.170.0.2,192.170.0.1,
0,N/A,Control_Packet,TCP_ACK,NODE-5,NODE-2,ROUTER-1,NODE-2,N/A,4500046.160,4500056.440,4500056.440,4500056.440,4500061.720,4500066.720,N/A,0.000,20.000,40.000,66.000,0.000,Successful,192.170.0.2:36934,192.168.0.2:82,4381,6,36162,False,True,False,0,192.170.0.2,192.168.0.2,192.168.0.1,192.168.0.2,
227,0,Voice,App1_VOICE,NODE-2,NODE-5,NODE-2,ROUTER-1,4520000.000,4520000.000,4520000.000,4520000.000,4520000.000,4520018.080,4520023.080,160.000,160.000,180.000,200.000,226.000,0.000,Successful,192.168.0.2:82,192.168.0.1:36934,33300,36162,0,False,False,False,160,192.168.0.2,192.168.0.1,192.168.0.2,192.168.0.1,
227,0,Voice,App1_VOICE,NODE-2,NODE-5,ROUTER-1,NODE-5,4520000.000,4520000.000,4520023.080,4520023.080,4520023.080,4520041.160,4520046.160,160.000,160.000,180.000,200.000,226.000,0.000,Successful,192.168.0.2:82,192.170.0.2:36934,33300,36162,0,False,False,False,160,192.168.0.2,192.170.0.2,192.170.0.1,192.170.0.2,
0,N/A,Control_Packet,TCP_ACK,NODE-5,NODE-2,NODE-5,ROUTER-1,N/A,4520046.160,4520046.160,4520046.160,4520046.160,4520051.440,4520056.440,N/A,0.000,20.000,40.000,66.000,0.000,Successful,192.170.0.2:36934,192.170.0.1:82,4381,6,36322,False,True,False,0,192.170.0.2,192.170.0.1,192.170.0.2,192.170.0.1,
0,N/A,Control_Packet,TCP_ACK,NODE-5,NODE-2,ROUTER-1,NODE-2,N/A,4520046.160,4520056.440,4520056.440,4520056.440,4520061.720,4520066.720,N/A,0.000,20.000,40.000,66.000,0.000,Successful,192.170.0.2:36934,192.168.0.2:82,4381,6,36322,False,True,False,0,192.170.0.2,192.168.0.2,192.168.0.1,192.168.0.2,
228,0,Voice,App1_VOICE,NODE-2,NODE-5,NODE-2,ROUTER-1,4540000.000,4540000.000,4540000.000,4540000.000,4540000.000,4540018.080,4540023.080,160.000,160.000,180.000,200.000,226.000,0.000,Successful,192.168.0.2:82,192.168.0.1:36934,33460,36322,0,False,False,False,160,192.168.0.2,192.168.0.1,192.168.0.2,192.168.0.1,
228,0,Voice,App1_VOICE,NODE-2,NODE-5,ROUTER-1,NODE-5,4540000.000,4540000.000,4540023.080,4540023.080,4540023.080,4540041.160,4540046.160,160.000,160.000,180.000,200.000,226.000,0.000,Successful,192.168.0.2:82,192.170.0.2:36934,33460,36322,0,False,False,False,160,192.168.0.2,192.170.0.2,192.170.0.1,192.170.0.2,
0,N/A,Control_Packet,TCP_ACK,NODE-5,NODE-2,NODE-5,ROUTER-1,N/A,4540046.160,4540046.160,4540046.160,4540046.160,4540051.440,4540056.440,N/A,0.000,20.000,40.000,66.000,0.000,Successful,192.170.0.2:36934,192.170.0.1:82,4381,6,36482,False,True,False,0,192.170.0.2,192.170.0.1,192.170.0.2,192.170.0.1,
