Application Name,Application ID,Source,Destination,Packet ID,Segment ID,Packet or Segment Start Time(ms),Packet or Segment End Time(ms),Packet or Segment size(Bytes),Latency(Microseconds),Jitter(Microseconds),Throughput(Mbps),
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,77,0,1520.000000,1520.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,78,0,1540.000000,1540.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,79,0,1560.000000,1560.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,80,0,1580.000000,1580.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,81,0,1600.000000,1600.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,82,0,1620.000000,1620.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,83,0,1640.000000,1640.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,84,0,1660.000000,1660.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,85,0,1680.000000,1680.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,86,0,1700.000000,1700.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,87,0,1720.000000,1720.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,88,0,1740.000000,1740.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,89,0,1760.000000,1760.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,90,0,1780.000000,1780.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,91,0,1800.000000,1800.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,92,0,1820.000000,1820.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,93,0,1840.000000,1840.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,94,0,1860.000000,1860.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,95,0,1880.000000,1880.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,96,0,1900.000000,1900.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,97,0,1920.000000,1920.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,98,0,1940.000000,1940.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,99,0,1960.000000,1960.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,100,0,1980.000000,1980.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,101,0,2000.000000,2000.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,102,0,2020.000000,2020.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,103,0,2040.000000,2040.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,104,0,2060.000000,2060.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,105,0,2080.000000,2080.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,106,0,2100.000000,2100.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,107,0,2120.000000,2120.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,108,0,2140.000000,2140.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,109,0,2160.000000,2160.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,110,0,2180.000000,2180.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,111,0,2200.000000,2200.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,112,0,2220.000000,2220.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,113,0,2240.000000,2240.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,114,0,2260.000000,2260.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,115,0,2280.000000,2280.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,116,0,2300.000000,2300.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,117,0,2320.000000,2320.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,118,0,2340.000000,2340.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,119,0,2360.000000,2360.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,120,0,2380.000000,2380.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,121,0,2400.000000,2400.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,122,0,2420.000000,2420.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,123,0,2440.000000,2440.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,124,0,2460.000000,2460.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,125,0,2480.000000,2480.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,126,0,2500.000000,2500.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,127,0,2520.000000,2520.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,128,0,2540.000000,2540.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,129,0,2560.000000,2560.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,130,0,2580.000000,2580.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,131,0,2600.000000,2600.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,132,0,2620.000000,2620.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,133,0,2640.000000,2640.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,134,0,2660.000000,2660.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,135,0,2680.000000,2680.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,136,0,2700.000000,2700.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,137,0,2720.000000,2720.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,138,0,2740.000000,2740.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,139,0,2760.000000,2760.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,140,0,2780.000000,2780.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,141,0,2800.000000,2800.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,142,0,2820.000000,2820.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,143,0,2840.000000,2840.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,144,0,2860.000000,2860.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,145,0,2880.000000,2880.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,146,0,2900.000000,2900.046160,160.000000,46.160000,0.000000,-1,
