Time (Microseconds),Application ID,Application Name,Source Device Name,Source ID,Destination Device Name,Destination ID,Source Socket Address,Destination Socket Address,Sender Window Size(Bytes),
740134.876393,1,App1_VOICE,WIRED_NODE_2,2,WIRED_NODE_5,5,192.168.0.2:82,192.170.0.2:36934,1620,
740181.036393,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
740181.036393,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
740200.076393,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
740200.076393,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
740201.596393,1,App1_VOICE,WIRED_NODE_2,2,WIRED_NODE_5,5,192.168.0.2:82,192.170.0.2:36934,1620,
740201.596393,1,App1_VOICE,WIRED_NODE_2,2,WIRED_NODE_5,5,192.168.0.2:82,192.170.0.2:36934,1780,
740201.596393,1,App1_VOICE,WIRED_NODE_2,2,WIRED_NODE_5,5,192.168.0.2:82,192.170.0.2:36934,1780,
740201.596393,1,App1_VOICE,WIRED_NODE_2,2,WIRED_NODE_5,5,192.168.0.2:82,192.170.0.2:36934,1780,
740219.116393,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
740219.116393,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
740220.636393,1,App1_VOICE,WIRED_NODE_2,2,WIRED_NODE_5,5,192.168.0.2:82,192.170.0.2:36934,1780,
740220.636393,1,App1_VOICE,WIRED_NODE_2,2,WIRED_NODE_5,5,192.168.0.2:82,192.170.0.2:36934,1940,
740220.636393,1,App1_VOICE,WIRED_NODE_2,2,WIRED_NODE_5,5,192.168.0.2:82,192.170.0.2:36934,1940,
740220.636393,1,App1_VOICE,WIRED_NODE_2,2,WIRED_NODE_5,5,192.168.0.2:82,192.170.0.2:36934,1940,
740238.156393,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
740238.156393,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
740239.676393,1,App1_VOICE,WIRED_NODE_2,2,WIRED_NODE_5,5,192.168.0.2:82,192.170.0.2:36934,1940,
740239.676393,1,App1_VOICE,WIRED_NODE_2,2,WIRED_NODE_5,5,192.168.0.2:82,192.170.0.2:36934,2100,
740239.676393,1,App1_VOICE,WIRED_NODE_2,2,WIRED_NODE_5,5,192.168.0.2:82,192.170.0.2:36934,2100,
740239.676393,1,App1_VOICE,WIRED_NODE_2,2,WIRED_NODE_5,5,192.168.0.2:82,192.170.0.2:36934,2100,
740257.196393,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
740257.196393,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
740258.716393,1,App1_VOICE,WIRED_NODE_2,2,WIRED_NODE_5,5,192.168.0.2:82,192.170.0.2:36934,2100,
740258.716393,1,App1_VOICE,WIRED_NODE_2,2,WIRED_NODE_5,5,192.168.0.2:82,192.170.0.2:36934,2260,
740258.716393,1,App1_VOICE,WIRED_NODE_2,2,WIRED_NODE_5,5,192.168.0.2:82,192.170.0.2:36934,2260,
740258.716393,1,App1_VOICE,WIRED_NODE_2,2,WIRED_NODE_5,5,192.168.0.2:82,192.170.0.2:36934,2260,
740276.236393,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
740276.236393,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
740277.756393,1,App1_VOICE,WIRED_NODE_2,2,WIRED_NODE_5,5,192.168.0.2:82,192.170.0.2:36934,2260,
740277.756393,1,App1_VOICE,WIRED_NODE_2,2,WIRED_NODE_5,5,192.168.0.2:82,192.170.0.2:36934,2420,
740277.756393,1,App1_VOICE,WIRED_NODE_2,2,WIRED_NODE_5,5,192.168.0.2:82,192.170.0.2:36934,2420,
740277.756393,1,App1_VOICE,WIRED_NODE_2,2,WIRED_NODE_5,5,192.168.0.2:82,192.170.0.2:36934,2420,
740295.276393,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
740295.276393,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
740296.796393,1,App1_VOICE,WIRED_NODE_2,2,WIRED_NODE_5,5,192.168.0.2:82,192.170.0.2:36934,2420,
740296.796393,1,App1_VOICE,WIRED_NODE_2,2,WIRED_NODE_5,5,192.168.0.2:82,192.170.0.2:36934,2580,
740296.796393,1,App1_VOICE,WIRED_NODE_2,2,WIRED_NODE_5,5,192.168.0.2:82,192.170.0.2:36934,2580,
740296.796393,1,App1_VOICE,WIRED_NODE_2,2,WIRED_NODE_5,5,192.168.0.2:82,192.170.0.2:36934,2580,
740314.316393,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
740314.316393,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
740315.836393,1,App1_VOICE,WIRED_NODE_2,2,WIRED_NODE_5,5,192.168.0.2:82,192.170.0.2:36934,2580,
740315.836393,1,App1_VOICE,WIRED_NODE_2,2,WIRED_NODE_5,5,192.168.0.2:82,192.170.0.2:36934,2740,
740315.836393,1,App1_VOICE,WIRED_NODE_2,2,WIRED_NODE_5,5,192.168.0.2:82,192.170.0.2:36934,2740,
740315.836393,1,App1_VOICE,WIRED_NODE_2,2,WIRED_NODE_5,5,192.168.0.2:82,192.170.0.2:36934,2740,
740333.356393,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
740333.356393,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
740334.876393,1,App1_VOICE,WIRED_NODE_2,2,WIRED_NODE_5,5,192.168.0.2:82,192.170.0.2:36934,2740,
740334.876393,1,App1_VOICE,WIRED_NODE_2,2,WIRED_NODE_5,5,192.168.0.2:82,192.170.0.2:36934,2900,
740352.396393,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
740352.396393,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
740371.436393,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
740371.436393,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
740390.476393,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
740390.476393,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
740409.516393,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
