Link Id,Link Type,Link Medium,Packet Id,Transmitter,Receiver,Packet Size(Bytes),Physical Out Time(ms),Physical In Time(ms),Throughput(Mbps),
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,740.577396,740.582396,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,740.586156,740.591156,-1,
1,P2P,Wired,37,WIRED_NODE_2,ROUTER_1,226.000000,740.590876,740.595876,-1,
3,P2P,Wired,36,ROUTER_1,WIRED_NODE_5,226.000000,740.594916,740.599916,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,740.596436,740.601436,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,740.605196,740.610196,-1,
1,P2P,Wired,38,WIRED_NODE_2,ROUTER_1,226.000000,740.609916,740.614916,-1,
3,P2P,Wired,37,ROUTER_1,WIRED_NODE_5,226.000000,740.613956,740.618956,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,740.615476,740.620476,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,740.624236,740.629236,-1,
3,P2P,Wired,38,ROUTER_1,WIRED_NODE_5,226.000000,740.632996,740.637996,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,740.634516,740.639516,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,740.643276,740.648276,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,740.653556,740.658556,-1,
1,P2P,Wired,39,WIRED_NODE_2,ROUTER_1,226.000000,760.018080,760.023080,-1,
3,P2P,Wired,39,ROUTER_1,WIRED_NODE_5,226.000000,760.041160,760.046160,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,760.051440,760.056440,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,760.061720,760.066720,-1,
1,P2P,Wired,40,WIRED_NODE_2,ROUTER_1,226.000000,780.018080,780.023080,-1,
3,P2P,Wired,40,ROUTER_1,WIRED_NODE_5,226.000000,780.041160,780.046160,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,780.051440,780.056440,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,780.061720,780.066720,-1,
1,P2P,Wired,41,WIRED_NODE_2,ROUTER_1,226.000000,800.018080,800.023080,-1,
3,P2P,Wired,41,ROUTER_1,WIRED_NODE_5,226.000000,800.041160,800.046160,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,800.051440,800.056440,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,800.061720,800.066720,-1,
1,P2P,Wired,42,WIRED_NODE_2,ROUTER_1,226.000000,820.018080,820.023080,-1,
3,P2P,Wired,42,ROUTER_1,WIRED_NODE_5,226.000000,820.041160,820.046160,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,820.051440,820.056440,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,820.061720,820.066720,-1,
1,P2P,Wired,43,WIRED_NODE_2,ROUTER_1,226.000000,840.018080,840.023080,-1,
3,P2P,Wired,43,ROUTER_1,WIRED_NODE_5,226.000000,840.041160,840.046160,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,840.051440,840.056440,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,840.061720,840.066720,-1,
1,P2P,Wired,44,WIRED_NODE_2,ROUTER_1,226.000000,860.018080,860.023080,-1,
3,P2P,Wired,44,ROUTER_1,WIRED_NODE_5,226.000000,860.041160,860.046160,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,860.051440,860.056440,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,860.061720,860.066720,-1,
1,P2P,Wired,45,WIRED_NODE_2,ROUTER_1,226.000000,880.018080,880.023080,-1,
3,P2P,Wired,45,ROUTER_1,WIRED_NODE_5,226.000000,880.041160,880.046160,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,880.051440,880.056440,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,880.061720,880.066720,-1,
1,P2P,Wired,46,WIRED_NODE_2,ROUTER_1,226.000000,900.018080,900.023080,-1,
3,P2P,Wired,46,ROUTER_1,WIRED_NODE_5,226.000000,900.041160,900.046160,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,900.051440,900.056440,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,900.061720,900.066720,-1,
1,P2P,Wired,47,WIRED_NODE_2,ROUTER_1,226.000000,920.018080,920.023080,-1,
3,P2P,Wired,47,ROUTER_1,WIRED_NODE_5,226.000000,920.041160,920.046160,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,920.051440,920.056440,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,920.061720,920.066720,-1,
1,P2P,Wired,48,WIRED_NODE_2,ROUTER_1,226.000000,940.018080,940.023080,-1,
3,P2P,Wired,48,ROUTER_1,WIRED_NODE_5,226.000000,940.041160,940.046160,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,940.051440,940.056440,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,940.061720,940.066720,-1,
1,P2P,Wired,49,WIRED_NODE_2,ROUTER_1,226.000000,960.018080,960.023080,-1,
3,P2P,Wired,49,ROUTER_1,WIRED_NODE_5,226.000000,960.041160,960.046160,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,960.051440,960.056440,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,960.061720,960.066720,-1,
1,P2P,Wired,50,WIRED_NODE_2,ROUTER_1,226.000000,980.018080,980.023080,-1,
3,P2P,Wired,50,ROUTER_1,WIRED_NODE_5,226.000000,980.041160,980.046160,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,980.051440,980.056440,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,980.061720,980.066720,-1,
1,P2P,Wired,51,WIRED_NODE_2,ROUTER_1,226.000000,1000.018080,1000.023080,-1,
3,P2P,Wired,51,ROUTER_1,WIRED_NODE_5,226.000000,1000.041160,1000.046160,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,1000.051440,1000.056440,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,1000.061720,1000.066720,-1,
1,P2P,Wired,52,WIRED_NODE_2,ROUTER_1,226.000000,1020.018080,1020.023080,-1,
3,P2P,Wired,52,ROUTER_1,WIRED_NODE_5,226.000000,1020.041160,1020.046160,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,1020.051440,1020.056440,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,1020.061720,1020.066720,-1,
1,P2P,Wired,53,WIRED_NODE_2,ROUTER_1,226.000000,1040.018080,1040.023080,-1,
3,P2P,Wired,53,ROUTER_1,WIRED_NODE_5,226.000000,1040.041160,1040.046160,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,1040.051440,1040.056440,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,1040.061720,1040.066720,-1,
1,P2P,Wired,54,WIRED_NODE_2,ROUTER_1,226.000000,1060.018080,1060.023080,-1,
3,P2P,Wired,54,ROUTER_1,WIRED_NODE_5,226.000000,1060.041160,1060.046160,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,1060.051440,1060.056440,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,1060.061720,1060.066720,-1,
1,P2P,Wired,55,WIRED_NODE_2,ROUTER_1,226.000000,1080.018080,1080.023080,-1,
3,P2P,Wired,55,ROUTER_1,WIRED_NODE_5,226.000000,1080.041160,1080.046160,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,1080.051440,1080.056440,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,1080.061720,1080.066720,-1,
1,P2P,Wired,56,WIRED_NODE_2,ROUTER_1,226.000000,1100.018080,1100.023080,-1,
3,P2P,Wired,56,ROUTER_1,WIRED_NODE_5,226.000000,1100.041160,1100.046160,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,1100.051440,1100.056440,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,1100.061720,1100.066720,-1,
1,P2P,Wired,57,WIRED_NODE_2,ROUTER_1,226.000000,1120.018080,1120.023080,-1,
3,P2P,Wired,57,ROUTER_1,WIRED_NODE_5,226.000000,1120.041160,1120.046160,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,1120.051440,1120.056440,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,1120.061720,1120.066720,-1,
1,P2P,Wired,58,WIRED_NODE_2,ROUTER_1,226.000000,1140.018080,1140.023080,-1,
3,P2P,Wired,58,ROUTER_1,WIRED_NODE_5,226.000000,1140.041160,1140.046160,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,1140.051440,1140.056440,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,1140.061720,1140.066720,-1,
1,P2P,Wired,59,WIRED_NODE_2,ROUTER_1,226.000000,1160.018080,1160.023080,-1,
